id vx vy
387 0.00758477 0.0176083
251 0.0362791 0.0159131
207 -0.044397 -0.0372437
12 -0.0235504 0.0508242
328 0.019883 0.011252
91 -0.0220625 0.0118369
323 0.0294867 -0.0129108
316 -0.00683661 0.00830776
287 0.0543509 -0.0019137
232 -0.0467937 0.00013088
150 -0.0168821 -0.0253352
83 -0.0753155 -0.0526217
321 0.0467319 -0.00251943
165 -0.00604047 0.030433
209 0.0344668 0.0334773
283 -0.0620878 -0.0044486
190 0.0320078 0.0300597
167 0.00311886 0.00528202
314 0.0158973 -0.00349906
361 0.00392124 -0.0384294
39 -0.00385502 0.0566034
33 -0.00472604 0.0339519
93 0.00990148 0.00273903
370 -0.0137153 -0.00857365
399 0.00492625 0.0045954
30 0.0147825 -0.0377988
265 0.0308975 0.0116522
64 -0.0180595 -0.0434027
97 0.002191 0.0332222
397 0.0161614 -0.0236367
125 -0.0403196 0.0155795
327 0.0505845 0.0325211
346 0.0315631 -0.014084
132 -0.0306606 0.0390604
134 0.0039665 0.0480834
319 0.000442157 -0.0195326
286 0.0208973 -0.0251824
96 0.0282889 -0.00489219
395 -0.00470461 0.0158396
249 -0.0347183 0.0413642
248 -0.0489761 0.0145481
2 -0.0273414 0.0180763
267 0.00389316 0.033476
280 0.0281886 0.0338497
62 0.0125128 0.0124131
46 0.0172556 -0.0539824
37 -0.0317176 -0.0263598
246 0.0634415 -0.010315
77 -0.0293435 0.00726668
320 0.0428948 0.0102545
47 -0.022826 0.0279533
254 -0.0414504 -0.00478232
344 -0.0561801 -0.060409
90 0.0258439 0.00930676
343 0.020607 0.00450066
273 -0.0100969 0.0673824
177 0.000986787 -0.00250745
235 0.000225419 0.00761508
51 0.0596435 -0.0674644
295 0.0104524 -0.00377579
307 0.00807173 0.0302956
368 0.0197814 0.00990977
80 -0.00766708 -0.00229295
